episode,reward,avg_reward,max_q,reward_var
2128,0.0,72.81806,1.3565044,0.005491301179781513
2129,0.0,72.495804,0.38483298,0.005491301179781513
2130,0.0,72.10838,1.5992663,0.005491301179781513
2131,0.0,71.74169,1.4539853,0.005491301179781513
2132,0.0,71.66301,1.4189556,0.005491301179781513
2133,0.0,71.53686,0.6378324,0.005491301179781513
2134,0.0,71.5731,1.4895697,0.005491301179781513
2135,0.0,71.12953,1.4795285,0.005491301179781513
2136,0.0,71.091,0.73103744,0.005491301179781513
2137,0.0,70.520676,0.6179794,0.005491301179781513
2138,0.0,70.47392,1.3522562,0.005491301179781513
2139,0.0,70.34859,1.196298,0.005491301179781513
2140,0.0,70.302605,0.091059625,0.005491301179781513
2141,0.0,70.40471,1.3718853,0.005491301179781513
2142,0.0,70.33877,1.2095556,0.005491301179781513
2143,0.0,69.57203,0.7757677,0.005491301179781513
2144,0.0,69.18306,1.2926499,0.005491301179781513
2145,0.0,69.17659,1.2722683,0.005491301179781513
2146,0.0,69.11537,1.206395,0.005491301179781513
2147,0.0,69.196594,1.24374,0.005491301179781513
2148,0.0,69.53622,1.3250332,0.005491301179781513
2149,0.0,69.43069,0.03144741,0.005491301179781513
2150,0.0,69.17126,0.050490975,0.005491301179781513
2151,0.0,68.89885,0.7000122,0.005491301179781513
2152,0.0,68.58157,1.3332072,0.005491301179781513
2153,0.0,68.58415,0.8467642,0.005491301179781513
2154,0.0,68.69185,1.2616946,0.005491301179781513
2155,0.0,68.600876,1.332454,0.005491301179781513
2156,0.0,68.56646,1.0817626,0.005491301179781513
2157,0.0,68.18204,1.125375,0.005491301179781513
2158,0.0,68.39845,1.2609425,0.005491301179781513
2159,0.0,68.42166,0.78758556,0.005491301179781513
2160,0.0,68.280464,0.10467142,0.0
2161,0.0,68.14572,1.2684175,0.0
2162,0.0,68.06553,1.3234394,0.0
2163,0.0,68.27798,0.93949324,0.0
2164,0.0,68.07817,1.2136288,0.0
2165,0.0,68.03042,0.6995159,0.0
2166,0.0,68.293724,0.542657,0.0
2167,0.0,68.56686,1.2583549,0.0
2168,0.0,68.845894,1.0575917,0.0
2169,0.0,68.77891,1.1232905,0.0
2170,0.0,68.87307,1.1399547,0.0
2171,0.0,68.80586,0.61980844,0.0
2172,0.0,68.5801,0.89971334,0.0
2173,0.0,68.45146,1.1577234,0.0
2174,0.0,69.01201,2.2402732,0.0
2175,0.0,69.214066,1.1690317,0.0
2176,0.0,68.892914,1.2046181,0.0
2177,0.0,69.07542,0.7776186,0.0
2178,0.0,68.70191,1.1878403,0.0
2179,0.0,69.07921,0.62495536,0.0
2180,0.0,68.99785,0.9420529,0.0
2181,0.0,68.39942,1.017933,0.0
2182,0.0,68.31175,0.9290399,0.0
2183,0.0,68.66963,0.88844854,0.0
2184,0.0,68.847404,1.0131568,0.0
2185,0.0,68.95723,1.4439468,0.0
2186,0.0,68.88903,1.2235975,0.0
2187,0.0,68.97922,0.62603223,0.0
2188,0.0,68.88571,1.0869935,0.0
2189,0.0,68.80748,0.7511384,0.0
2190,0.0,68.606224,0.71263814,0.0
2191,0.0,68.57793,0.98216605,0.0
2192,0.0,68.30805,0.46271622,0.0
2193,0.0,68.546974,1.1429762,0.0
2194,0.0,68.50767,0.7080538,0.0
2195,0.0,68.652756,0.6532565,0.0
2196,0.0,68.489235,1.1164751,0.0
2197,0.0,69.25685,2.8938632,0.0
2198,0.0,69.26975,1.1157318,0.0
2199,0.6061355,69.44739,2.6842456,0.007348004887206639
2200,0.0,69.74241,0.622406,0.007348004887206639
2201,0.0,70.056595,0.71560526,0.007348004887206639
2202,0.0,70.16102,0.3506788,0.007348004887206639
2203,0.0,70.08462,1.109535,0.007348004887206639
2204,0.0,70.34646,0.99957913,0.007348004887206639
2205,0.0,69.84451,1.0356956,0.007348004887206639
2206,0.0,69.989334,0.41396695,0.007348004887206639
2207,0.0,70.12433,0.33179078,0.007348004887206639
2208,0.0,70.58577,1.5805687,0.007348004887206639
2209,0.0,70.494865,1.1375087,0.007348004887206639
2210,0.0,70.85487,1.5573063,0.007348004887206639
2211,0.0,70.93245,0.7097191,0.007348004887206639
2212,0.0,71.18811,1.364732,0.007348004887206639
2213,0.0,71.13999,0.9351704,0.007348004887206639
2214,0.0,71.07668,0.8974497,0.007348004887206639
2215,0.0,70.98155,0.42967743,0.007348004887206639
2216,0.0,70.979744,0.8564743,0.007348004887206639
2217,0.0,71.06083,0.79053324,0.007348004887206639
2218,0.0,71.27576,0.651706,0.007348004887206639
2219,0.0,71.39095,1.3715384,0.007348004887206639
2220,0.0,71.46792,0.7747899,0.007348004887206639
2221,0.0,71.25276,0.449044,0.007348004887206639
2222,0.0,71.34141,0.31526163,0.007348004887206639
2223,0.0,71.31122,0.6034893,0.007348004887206639
2224,0.0,70.90778,0.8227695,0.007348004887206639
2225,0.0,70.75992,0.23582116,0.007348004887206639
2226,0.0,71.05249,0.354761,0.007348004887206639
2227,0.0,71.140945,0.36711693,0.007348004887206639
2228,0.0,71.01992,0.7702806,0.007348004887206639
2229,0.0,71.5707,0.8191699,0.007348004887206639
2230,0.0,71.43896,0.6536291,0.007348004887206639
2231,0.0,71.68247,0.7688753,0.007348004887206639
2232,0.0,71.67187,0.265056,0.007348004887206639
2233,0.0,71.65186,0.67525023,0.007348004887206639
2234,0.0,71.64521,0.75513554,0.007348004887206639
2235,0.0,71.67534,-0.06733155,0.007348004887206639
2236,0.0,71.52256,0.43741578,0.007348004887206639
2237,0.0,71.54239,1.5893729,0.007348004887206639
2238,0.0,71.62426,0.4216916,0.007348004887206639
2239,0.0,71.82988,0.3386569,0.007348004887206639
2240,0.0,72.27178,1.5782707,0.007348004887206639
2241,0.0,72.42697,0.46459472,0.007348004887206639
2242,0.0,72.26646,0.3855005,0.007348004887206639
2243,0.0,72.40729,0.46973783,0.007348004887206639
2244,0.0,72.94693,2.475687,0.007348004887206639
2245,0.0,72.649254,0.80435526,0.007348004887206639
2246,0.0,72.35686,0.25855157,0.007348004887206639
2247,0.0,72.31626,0.40541607,0.007348004887206639
2248,0.0,72.01713,0.46036488,0.007348004887206639
2249,0.0,71.77065,0.7783866,0.0
2250,0.0,72.20397,3.182211,0.0
2251,0.0,72.268005,0.67699796,0.0
2252,0.0,72.39017,2.557741,0.0
2253,0.0,72.464,0.5449966,0.0
2254,0.0,72.56758,4.5739236,0.0
2255,0.0,72.72051,2.7792263,0.0
2256,0.0,73.3758,3.4876547,0.0
2257,0.0,73.424614,0.554091,0.0
2258,0.0,73.26476,0.4649215,0.0
2259,0.0,73.628265,3.8838592,0.0
2260,0.0,73.466385,0.15028802,0.0
2261,0.0,73.79163,3.583487,0.0
2262,0.0,73.64655,4.992858,0.0
2263,0.0,73.49207,4.2624836,0.0
2264,0.0,73.66852,2.7263346,0.0
2265,0.0,73.93797,4.2365713,0.0
2266,0.0,73.9259,1.3614687,0.0
2267,0.0,73.99994,4.069445,0.0
2268,0.0,73.81156,1.4495586,0.0
2269,0.0,73.59418,-3.161297,0.0
2270,0.0,73.78169,3.9614327,0.0
2271,0.0,74.22589,-0.14053102,0.0
2272,0.0,75.35466,2.4410424,0.0
2273,0.0,75.31336,3.0868032,0.0
2274,0.0,74.880745,4.135811,0.0
2275,0.0,74.62783,0.3342477,0.0
2276,0.0,74.748505,-0.016862527,0.0
2277,0.0,75.23313,4.8123355,0.0
2278,0.0,75.16556,0.4047077,0.0
2279,0.0,74.78713,4.2417636,0.0
2280,0.0,75.06219,-2.4754548,0.0
2281,0.0,75.23881,4.273459,0.0
2282,0.0,75.20539,4.245477,0.0
2283,0.0,75.18595,3.892551,0.0
2284,0.0,74.77212,0.3792208,0.0
2285,0.0,74.6069,0.3138554,0.0
2286,0.0,74.744934,3.955768,0.0
2287,0.0,74.800804,-1.2774652,0.0
2288,0.0,74.397896,0.31840292,0.0
2289,0.0,75.02444,5.8760204,0.0
2290,0.0,74.99192,0.59870356,0.0
2291,0.0,75.29409,0.6096001,0.0
2292,0.0,75.28925,0.14029656,0.0
2293,0.0,75.08703,0.3027932,0.0
2294,0.0,75.57018,4.297506,0.0
2295,0.0,75.33086,0.24862912,0.0
2296,0.0,75.48191,0.2686989,0.0
2297,0.0,74.6769,0.4750886,0.0
2298,0.0,75.27096,0.5275774,0.0
2299,0.0,75.07997,0.3627924,0.0
2300,0.0,74.73933,0.36859393,0.0
2301,0.0,74.70063,0.24561115,0.0
2302,0.0,74.57211,0.3025027,0.0
2303,0.0,75.05474,0.4461925,0.0
2304,0.0,74.8175,0.21625502,0.0
2305,0.0,74.881386,0.3990313,0.0
2306,0.0,74.99672,5.2437024,0.0
2307,0.0,75.55206,5.082051,0.0
2308,0.0,75.23628,0.3000536,0.0
2309,0.0,75.12215,0.40676802,0.0
2310,0.0,74.84433,0.2954651,0.0
2311,0.0,75.59106,4.501921,0.0
2312,0.0,75.40467,0.3419363,0.0
2313,0.0,75.57996,0.21700257,0.0
2314,0.0,75.743,0.30742824,0.0
2315,0.0,75.81279,0.32622048,0.0
2316,0.0,75.92468,-0.33225048,0.0
2317,0.0,76.21829,0.30943835,0.0
2318,0.0,75.945244,0.41404593,0.0
2319,0.0,75.69762,1.2125349,0.0
2320,0.0,75.45081,0.6932563,0.0
2321,0.83988845,76.84437,29.203487,0.014108252168869679
2322,0.0,77.592834,4.802182,0.014108252168869679
2323,0.0,77.659615,1.2733792,0.014108252168869679
2324,0.0,78.09816,0.19297329,0.014108252168869679
2325,0.0,78.558624,4.438315,0.014108252168869679
2326,0.0,78.45532,0.36265314,0.014108252168869679
2327,0.0,78.762726,8.285318,0.014108252168869679
2328,0.0,78.648705,0.18404844,0.014108252168869679
2329,0.0,78.256905,0.17070153,0.014108252168869679
2330,0.0,78.63129,5.52566,0.014108252168869679
2331,0.0,78.7364,0.36231905,0.014108252168869679
2332,0.0,78.95301,0.3304546,0.014108252168869679
2333,0.0,79.7176,1.8001013,0.014108252168869679
2334,0.0,79.72647,0.65094614,0.014108252168869679
2335,0.5345291,80.92949,10.069184,0.019456193778680228
2336,0.0,81.80339,3.6889668,0.019456193778680228
2337,0.0,82.22214,3.8412097,0.019456193778680228
2338,0.0,82.06191,0.1196188,0.019456193778680228
2339,0.0,82.16941,0.10324353,0.019456193778680228
2340,0.0,81.80316,0.07556048,0.019456193778680228
2341,0.0,81.60347,0.1047779,0.019456193778680228
2342,0.0,81.83223,0.13936096,0.019456193778680228
2343,0.0,81.830864,0.11233884,0.019456193778680228
2344,0.0,81.37481,0.15981239,0.019456193778680228
2345,0.0,81.53169,0.11348584,0.019456193778680228
2346,0.0,81.942314,0.13877691,0.019456193778680228
2347,0.0,81.942276,0.12910351,0.019456193778680228
2348,0.0,82.03847,0.07866193,0.019456193778680228
2349,0.0,82.271805,0.08213693,0.019456193778680228
2350,0.0,81.98456,0.11170052,0.019456193778680228
2351,0.0,82.94377,7.704403,0.019456193778680228
2352,0.0,83.64881,2.7541847,0.019456193778680228
